#QTL	Publication	TO	type	CO	Location
QPGYR1.1	Leiser et al 2014	TO:0000396	exact	CO_324:0000199	1:61708646-62285156
QPGYR2.1	Leiser et al 2014	TO:0000396		CO_324:0000199	2:7594665-7740063
QPGYR5.1	Leiser et al 2014	TO:0000396		CO_324:0000199	5:1953164-1987677
QGDOA1.1	Rhodes et al 2014	TO:0000071	parent class	CO_324:0000214	1:24658304-40535122
QGDOA1.2	Rhodes et al 2014	TO:0000071		CO_324:0000214	1:61787640-62289961
QGDOA1.3	Rhodes et al 2014	TO:0000071		CO_324:0000214	1:62799257-63233915
QGDOA1.4	Rhodes et al 2014	TO:0000071		CO_324:0000214	1:72713641-73713625
QGDOA2.1	Rhodes et al 2014	TO:0000071		CO_324:0000214	2:47743235-49144579
QGDOA2.2	Rhodes et al 2014	TO:0000071		CO_324:0000214	2:51573189-53280754
QGDOA2.3	Rhodes et al 2014	TO:0000071		CO_324:0000214	2:51596640-53310611
QGDOA2.4	Rhodes et al 2014	TO:0000071		CO_324:0000214	2:54940407-55544905
QGDOA2.5	Rhodes et al 2014	TO:0000071		CO_324:0000214	2:59478890-59679969
QGDOA3.1	Rhodes et al 2014	TO:0000071		CO_324:0000214	3:59234542-59673995
QGDOA3.2	Rhodes et al 2014	TO:0000071		CO_324:0000214	3:71325207-71507592
QGDOA3.3	Rhodes et al 2014	TO:0000071		CO_324:0000214	3:71349942-71662849
QGDOA3.4	Rhodes et al 2014	TO:0000071		CO_324:0000214	3:71349942-71662850
QGDOA3.5	Rhodes et al 2014	TO:0000071		CO_324:0000214	3:71349946-71662876
QGDOA3.6	Rhodes et al 2014	TO:0000071		CO_324:0000214	3:72252137-72268448
QGDOA3.7	Rhodes et al 2014	TO:0000071		CO_324:0000214	3:72312606-72665456
QGDOA4.1	Rhodes et al 2014	TO:0000071			4:10043313-10463301
QGDOA4.2	Rhodes et al 2014	TO:0000071			4:51606773-51917941
QGDOA4.3	Rhodes et al 2014	TO:0000071			4:53788274-54743810
QGDOA4.4	Rhodes et al 2014	TO:0000071			4:53790272-54778344
QGDOA4.5	Rhodes et al 2014	TO:0000071			4:53814185-55124567
QGDOA4.6	Rhodes et al 2014	TO:0000071			4:55052205-55830806
QGDOA4.7	Rhodes et al 2014	TO:0000071			4:55243793-55833226
QGDOA5.1	Rhodes et al 2014	TO:0000071		CO_324:0000214	5:13410080-51882873
QGDOA6.1	Rhodes et al 2014	TO:0000071		CO_324:0000214	6:1817714-1860351
QGDOA6.2	Rhodes et al 2014	TO:0000071		CO_324:0000214	6:5867516-10050110
QGDOA6.3	Rhodes et al 2014	TO:0000071		CO_324:0000214	6:49499951-49638717
QGDOA6.4	Rhodes et al 2014	TO:0000071		CO_324:0000214	6:56376067-56537106
QGDOA7.1	Rhodes et al 2014	TO:0000071		CO_324:0000214	7:9894969-45961291
QGDOA7.2	Rhodes et al 2014	TO:0000071		CO_324:0000214	7:63190347-63287493
QGDOA8.1	Rhodes et al 2014	TO:0000071		CO_324:0000214	8:53436798-53843652
QGDOA8.2	Rhodes et al 2014	TO:0000071		CO_324:0000214	8:53441893-53976064
QGDOA9.1	Rhodes et al 2014	TO:0000071		CO_324:0000214	9:2172350-2174718
QGDOA9.2	Rhodes et al 2014	TO:0000071		CO_324:0000214	9:14424413-44900726
QGDOA10.1	Rhodes et al 2014	TO:0000071		CO_324:0000214	10:5070258-5905726
QGDOA10.2	Rhodes et al 2014	TO:0000071		CO_324:0000214	10:6526780-6764423
QGDOA10.3	Rhodes et al 2014	TO:0000071		CO_324:0000214	10:41745111-46189182
QGDOA10.4	Rhodes et al 2014	TO:0000071		CO_324:0000214	10:41745111-46190810
QGDOA10.5	Rhodes et al 2014	TO:0000071		CO_324:0000214	10:41745111-46196438
QGDOA10.6	Rhodes et al 2014	TO:0000071		CO_324:0000214	10:58128443-58285239
QSADF1.1	Shiringani & Friedt 2011	TO:0002641			1:77174548-78396426
QSADF2.1	Shiringani & Friedt 2011	TO:0002641			2:60438714-61684959
QSADF4.1	Shiringani & Friedt 2011	TO:0002641			4:61938507-62999816
QSADF6.1	Shiringani & Friedt 2011	TO:0002641			6:50918725-51823307
QSADF6.2	Shiringani & Friedt 2011	TO:0002641			6:60086645-61260478
QSADF9.1	Shiringani & Friedt 2011	TO:0002641			9:3926621-5261735
QSADL2.1	Shiringani & Friedt 2011	TO:0000731			2:60252984-61899620
QSADL3.1	Shiringani & Friedt 2011	TO:0000731			3:54353699-55726777
QSADL6.1	Shiringani & Friedt 2011	TO:0000731			6:56558149-57747096
QSADL7.1	Shiringani & Friedt 2011	TO:0000731			7:6793412-8935505
QLSNS2.1	Feltus et al 2006	TO:0000249			2:71135862-74507954
QLSNS3.1	Feltus et al 2006	TO:0000249			3:6059830-9839928
QLSNS7.1	Feltus et al 2006	TO:0000249			7:58447002-58811816
QLSNS9.1	Feltus et al 2006	TO:0000249			9:4693142-7119350
QALSN3.1	Mace and Jordan 2010				3:71282989-71334129
QGAMY2.1	Rami et al 1998				2:6053372-6057949
QGAMY2.2	Rami et al 1998				2:56705227-58451230
QGAMY4.1	Rami et al 1998				4:53427784-56050457
QANCY1.1	Chopra et al 2017			CO_324:0000214	1:7565583-7906615
QANCY2.1	Chopra et al 2017			CO_324:0000214	2:76008214-76034064
QANCY6.7	Chopra et al 2017			CO_324:0000214	6:42593160-42817674
QANCY6.6	Chopra et al 2017			CO_324:0000214	6:52573096-52674856
QANCY6.5	Chopra et al 2017			CO_324:0000214	6:52624900-52726660
QANCY6.1	Chopra et al 2017			CO_324:0000214	6:52733553-52835314
QANCY6.3	Chopra et al 2017			CO_324:0000214	6:52743326-52845086
QANCY6.4	Chopra et al 2017			CO_324:0000214	6:52790428-52892188
QANCY6.8	Chopra et al 2017			CO_324:0000214	6:52790436-52892197
QANCY6.2	Chopra et al 2017			CO_324:0000214	6:52815259-52917020
QORAC1.1	Rhodes et al 2017b	TO:0000277	parent class		1:69465070-69704227
QORAC4.5	Rhodes et al 2017b	TO:0000277			4:61769633-61894356
QORAC4.1	Rhodes et al 2017b	TO:0000277			4:61770694-61895317
QORAC4.4	Rhodes et al 2017b	TO:0000277			4:61861258-61895388
QORAC4.9	Rhodes et al 2017b	TO:0000277			4:61861258-61895388
QORAC4.2	Rhodes et al 2017b	TO:0000277			4:61861288-61895418
QORAC4.7	Rhodes et al 2017b	TO:0000277			4:61861402-61895532
QORAC4.3	Rhodes et al 2017b	TO:0000277			4:61869044-61903174
QORAC4.8	Rhodes et al 2017b	TO:0000277			4:61914582-61948712
QORAC4.6	Rhodes et al 2017b	TO:0000277			4:61925703-61972406
QORAC7.2	Rhodes et al 2017b	TO:0000277			7:59548398-59551874
QORAC7.6	Rhodes et al 2017b	TO:0000277			7:59550329-59553804
QORAC7.1	Rhodes et al 2017b	TO:0000277			7:59550433-59553908
QORAC7.5	Rhodes et al 2017b	TO:0000277			7:59550435-59553911
QORAC7.7	Rhodes et al 2017b	TO:0000277			7:59550807-59554283
QORAC7.4	Rhodes et al 2017b	TO:0000277			7:61225645-61311843
QORAC7.3	Rhodes et al 2017b	TO:0000277			7:61225666-61311864
QORAC8.1	Rhodes et al 2017b	TO:0000277			8:5083800-5501298
QAWNL6.1	Hart et al 2001				6:55470336-58195464
QAWNP1.1	Zhang et al 2015			CO_324:0000226	1:2038800-4090517
QAWNP1.2	Zhang et al 2015			CO_324:0000226	1:17845737-17845737
QAWNP1.3	Zhang et al 2015			CO_324:0000226	1:70458997-70858480
QAWNP2.1	Zhang et al 2015			CO_324:0000226	2:6043768-6043885
QAWNP3.1	Zhang et al 2015			CO_324:0000226	3:69145651-74103333
QAWNP3.2	Zhang et al 2015			CO_324:0000226	3:69146573-74103333
QAWNP3.3	Mace and Jordan 2010			CO_324:0000226	3:72280869-72896048
QAWNP4.1	Zhang et al 2015				4:57402890-65083286
QAWNP7.1	Zhang et al 2015			CO_324:0000226	7:763229-3209861
QAWNP7.2	Zhang et al 2015			CO_324:0000226	7:4334306-4472691
QAWNP7.3	Zhang et al 2015			CO_324:0000226	7:55120501-55135670
QAWNP8.1	Zhang et al 2015			CO_324:0000226	8:53442059-53699734
QAWNP9.1	Zhang et al 2015			CO_324:0000226	9:2791642-2791643
QAWNP10.1	Zhang et al 2015			CO_324:0000226	10:14178784-41745111
QAWNP10.2	Zhang et al 2015			CO_324:0000226	10:41745111-41745111
QAWNP10.3	Zhang et al 2015			CO_324:0000226	10:41745111-41745111
QAWNP10.4	Zhang et al 2015			CO_324:0000226	10:44627525-45919825
QAWNP10.5	Zhang et al 2015			CO_324:0000226	10:50277982-50320512
QAWNP10.6	Zhang et al 2015			CO_324:0000226	10:53575606-53663958
QBLST6.1	Klein et al 2001		parent class		6:56253103-56635535
QBRRT6.1	Li et al 2014				6:2561091-42848820
QBRRT7.1	Li et al 2014				7:57710741-57810760
QBRNB1.1	Nagaraja Reddy et al 2013				1:0-7403720
QBRNB1.2	Witt Hmon et al 2014				1:57279063-57709737
QBRNB1.3	Srinivas et al 2009				1:57690471-59563512
QBRNB1.4	Witt Hmon et al 2014				1:61820785-62291072
QBRNB1.5	Witt Hmon et al 2014				1:67832836-67872366
QBRNB1.6	Witt Hmon et al 2014				1:67832836-67872366
QBRNB1.7	Nagaraja Reddy et al 2013				1:74319858-77174548
QBRNB1.8	Witt Hmon et al 2014				1:76000483-76870492
QBRNB2.1	Witt Hmon et al 2014				2:12879358-13356424
QBRNB2.2	Pereira et al 1995				2:60417057-65170612
QBRNB2.3	Witt Hmon et al 2014				2:68082309-68502429
QBRNB2.4	Witt Hmon et al 2014				2:68082309-68502429
QBRNB2.5	Witt Hmon et al 2014				2:68082309-68502429
QBRNB3.1	Brown et al 2006				3:4799501-6034087
QBRNB3.2	Nagaraja Reddy et al 2013				3:11079757-14727321
QBRNB3.3	Nagaraja Reddy et al 2013				3:51612279-55866546
QBRNB3.5	Nagaraja Reddy et al 2013				3:54856320-55572641
QBRNB3.4	Witt Hmon et al 2014				3:54961606-55247419
QBRNB3.6	Nagaraja Reddy et al 2013				3:68224684-69145846
QBRNB4.1	Witt Hmon et al 2014				4:41853126-45318072
QBRNB4.2	Witt Hmon et al 2014				4:62856520-62939107
QBRNB5.1	Nagaraja Reddy et al 2013				5:58054278-64713152
QBRNB5.2	Srinivas et al 2009				5:64209775-65022326
QBRNB6.1	Brown et al 2006				6:27235084-41747834
QBRNB7.1	Witt Hmon et al 2014				7:763229-783461
QBRNB7.2	Srinivas et al 2009				7:819056-1442224
QBRNB7.3	Nagaraja Reddy et al 2013				7:6945820-55332503
QBRNB7.4	Pereira et al 1995				7:57883563-63181797
QBRNB8.1	Witt Hmon et al 2014				8:525393-609436
QBRNB8.2	Witt Hmon et al 2014				8:525393-609436
QBRNB8.3	Pereira et al 1995				8:5070472-57105832
QBRNB8.4	Srinivas et al 2009				8:8052509-56639850
QBRNB10.1	Nagaraja Reddy et al 2013				10:7488116-50013581
QBRPN1.1	Kong et al 2014				1:2009634-4927104
QBRPN1.2	Kong et al 2014				1:2009634-4927104
QBRPN3.1	Kong et al 2014				3:5993979-7936069
QBRPN3.2	Kong et al 2014				3:5993979-7936069
QBRPN3.3	Kong et al 2014				3:5993979-43715923
QBRPN4.1	Kong et al 2014				4:12561111-59256470
QBRPN4.2	Kong et al 2014				4:51745255-59256470
QBRPN6.1	Kong et al 2014				6:55857873-60452767
QBRPN7.1	Kong et al 2014				7:908159-7540868
QBRPN7.2	Kong et al 2014				7:908159-39543566
QBRPN8.1	Kong et al 2014				8:264561-2897622
QBRPN9.1	Kong et al 2014				9:10801023-53893383
QBRIX1.1	Felderhoff et al 2012				1:14646599-24368364
QBRIX1.2	Felderhoff et al 2012				1:23292053-53914028
QBRIX1.3	Felderhoff et al 2012				1:24063426-57264244
QBRIX1.4	Shiringani et al 2010				1:52848284-58798375
QBRIX1.5	Guan et al 2011				1:54698522-58681097
QBRIX1.6	Felderhoff et al 2012				1:69634266-74400349
QBRIX1.7	Lv et al 2013				1:76000483-76870492
QBRIX1.8	Lv et al 2013				1:76000483-76870492
QBRIX1.9	Bai et al 2017				1:80783074-80878678
QBRIX2.1	Shiringani et al 2010				2:10069102-12419746
QBRIX2.8	Wang et al 2016				2:14109282-55984066
QBRIX2.7	Wang et al 2016				2:14173181-55436012
QBRIX2.9	Wang et al 2016				2:14182682-54994198
QBRIX2.2	Guan et al 2011				2:58571861-58919006
QBRIX2.3	Shiringani et al 2010				2:61683685-61924465
QBRIX2.4	Felderhoff et al 2012				2:71094992-75974869
QBRIX2.6	Felderhoff et al 2012				2:74429791-76189278
